E,N,Z
0.0125,0.37,-0.146
0.00861,0.367,-0.152
0.0273,0.369,-0.154
0.0462,0.373,-0.157
0.053,0.376,-0.159
0.048,0.369,-0.149
0.0361,0.364,-0.143
0.0289,0.365,-0.149
0.0199,0.367,-0.153
0.0147,0.372,-0.154
0.0276,0.376,-0.152
0.0636,0.379,-0.149
0.0875,0.384,-0.147
0.0692,0.387,-0.149
0.0361,0.387,-0.154
-0.00407,0.384,-0.156
-0.0146,0.38,-0.152
0.0265,0.379,-0.15
0.0563,0.38,-0.147
0.0701,0.378,-0.148
0.0671,0.376,-0.145
0.0347,0.373,-0.141
0.0249,0.373,-0.146
0.0198,0.38,-0.15
0.0143,0.377,-0.153
0.0371,0.373,-0.155
0.0408,0.376,-0.159
0.0262,0.375,-0.161
0.016,0.375,-0.154
0.015,0.374,-0.154
0.0441,0.371,-0.157
0.069,0.372,-0.155
0.0636,0.373,-0.149
0.046,0.375,-0.146
0.0192,0.377,-0.143
0.003,0.375,-0.142
0.014,0.373,-0.146
0.033,0.372,-0.145
0.0475,0.37,-0.142
0.0524,0.37,-0.143
0.0423,0.373,-0.15
0.0337,0.381,-0.157
0.0338,0.392,-0.16
0.0355,0.395,-0.162
0.0381,0.397,-0.156
0.0211,0.397,-0.152
0.00486,0.388,-0.152
0.0203,0.383,-0.139
0.0216,0.384,-0.132
0.00941,0.38,-0.142
0.0296,0.378,-0.147
0.063,0.376,-0.151
0.0714,0.373,-0.149
0.0502,0.376,-0.14
0.0264,0.375,-0.147
0.023,0.376,-0.162
0.0343,0.379,-0.173
0.0534,0.379,-0.174
0.0633,0.381,-0.171
0.0446,0.385,-0.167
0.0208,0.383,-0.162
0.0139,0.373,-0.157
0.027,0.368,-0.154
0.0595,0.37,-0.157
0.069,0.372,-0.155
0.0414,0.377,-0.15
0.0184,0.382,-0.152
0.00774,0.379,-0.152
0.00274,0.381,-0.153
0.021,0.382,-0.154
0.0514,0.377,-0.151
0.0553,0.377,-0.143
0.0357,0.379,-0.139
0.0202,0.383,-0.146
0.0106,0.39,-0.152
0.0164,0.389,-0.152
0.0356,0.386,-0.147
0.0328,0.385,-0.138
0.0313,0.381,-0.13
0.0446,0.381,-0.136
0.0364,0.385,-0.151
0.0214,0.386,-0.162
0.0188,0.385,-0.162
0.0326,0.375,-0.154
0.0584,0.368,-0.143
0.0631,0.37,-0.144
0.051,0.368,-0.156
0.0555,0.37,-0.163
0.0578,0.379,-0.168
0.043,0.377,-0.174
0.0448,0.374,-0.17
0.0539,0.375,-0.164
0.0475,0.376,-0.16
0.0391,0.379,-0.152
0.0281,0.377,-0.145
0.0286,0.379,-0.146
0.0381,0.385,-0.153
0.025,0.382,-0.155
0.0158,0.379,-0.152
0.0275,0.383,-0.149
0.0332,0.386,-0.149
0.0111,0.392,-0.148
-0.0251,0.395,-0.144
-0.0269,0.389,-0.148
0.00294,0.387,-0.149
0.0473,0.385,-0.146
0.0899,0.379,-0.145
0.0829,0.382,-0.14
0.0447,0.382,-0.136
0.0114,0.377,-0.136
-0.0107,0.376,-0.14
0.00747,0.373,-0.152
0.046,0.371,-0.157
0.0638,0.377,-0.159
0.0569,0.384,-0.166
0.0304,0.377,-0.164
0.0172,0.375,-0.159
0.0343,0.379,-0.167
0.0705,0.38,-0.171
0.101,0.382,-0.169
0.0946,0.379,-0.169
0.0672,0.378,-0.158
0.0373,0.384,-0.15
0.00692,0.385,-0.15
0.0089,0.389,-0.147
0.0264,0.394,-0.152
0.0255,0.397,-0.156
0.0256,0.399,-0.153
0.029,0.391,-0.155
0.0375,0.386,-0.154
0.0423,0.382,-0.152
0.0346,0.373,-0.148
0.0347,0.376,-0.14
0.0123,0.381,-0.142
-0.0179,0.381,-0.147
0.00439,0.383,-0.146
0.0468,0.385,-0.142
0.0601,0.389,-0.138
0.0317,0.394,-0.134
-0.00528,0.391,-0.133
-0.00276,0.387,-0.138
0.0252,0.384,-0.147
0.0362,0.381,-0.155
0.0291,0.382,-0.166
0.0359,0.383,-0.173
0.0489,0.38,-0.168
0.0575,0.379,-0.162
0.0616,0.381,-0.156
0.051,0.378,-0.159
0.044,0.373,-0.174
0.0519,0.379,-0.182
0.0597,0.383,-0.176
0.0481,0.384,-0.164
0.0341,0.388,-0.157
0.0395,0.385,-0.154
0.0519,0.384,-0.151
0.0568,0.391,-0.151
0.0274,0.396,-0.156
-0.00503,0.399,-0.16
0.00426,0.396,-0.159
0.0294,0.383,-0.152
0.0481,0.379,-0.148
0.0363,0.38,-0.143
0.00552,0.374,-0.136
0.0057,0.37,-0.132
0.0303,0.371,-0.134
0.0443,0.377,-0.139
0.043,0.383,-0.145
0.0446,0.386,-0.148
0.0438,0.384,-0.147
0.0467,0.379,-0.145
0.0536,0.379,-0.148
0.0402,0.382,-0.154
0.0297,0.386,-0.163
0.0259,0.388,-0.171
0.027,0.385,-0.173
0.0364,0.386,-0.171
0.0235,0.39,-0.161
0.0162,0.388,-0.149
0.0287,0.385,-0.146
0.0411,0.388,-0.147
0.0603,0.393,-0.152
0.0651,0.396,-0.159
0.053,0.395,-0.156
0.0406,0.393,-0.147
0.0285,0.392,-0.144
0.0204,0.393,-0.14
0.0229,0.394,-0.141
0.0447,0.391,-0.15
